,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Size,Public_Duration
639,20.133333333333333,"41.926277,-87.630834|41.940775,-87.63919200000001","41.926277,-87.630834","41.940775,-87.63919200000001",17.366666666666667,1495411260,80,
46,19.2,"41.88389277,-87.62464914|41.880958,-87.616743","41.88389277,-87.62464914","41.880958,-87.616743",18.83333333333333,1495120320,79,
30,36.18333333333333,"41.911722,-87.626804|41.918306,-87.636282","41.911722,-87.626804","41.918306,-87.636282",16.666666666666668,1495027080,79,
966,109.33333333333331,"41.867888,-87.623041|41.867888,-87.623041","41.867888,-87.623041","41.867888,-87.623041",42.61666666666667,1495734720,79,
3813,11.016666666666667,"41.940775,-87.63919200000001|41.926277,-87.630834","41.940775,-87.63919200000001","41.926277,-87.630834",17.916666666666668,1495368180,77,
1340,30.0,"41.892278000000005,-87.612043|41.867888,-87.623041","41.892278000000005,-87.612043","41.867888,-87.623041",26.53333333333333,1495447920,77,
2114,16.733333333333334,"41.872638,-87.623979|41.880958,-87.616743","41.872638,-87.623979","41.880958,-87.616743",18.675,1495053690,76,
716,21.53333333333333,"41.88504199,-87.61279454|41.8810317,-87.62408432","41.88504199,-87.61279454","41.8810317,-87.62408432",18.608333333333334,1495809810,76,
2822,87.3,"41.892278000000005,-87.612043|41.872638,-87.623979","41.892278000000005,-87.612043","41.872638,-87.623979",26.91666666666667,1495462380,75,
984,4.433333333333334,"41.911722,-87.626804|41.915689,-87.6346","41.911722,-87.626804","41.915689,-87.6346",15.5,1495739400,75,
69,23.8,"41.87785,-87.62408|41.87785,-87.62408","41.87785,-87.62408","41.87785,-87.62408",25.6,1495637100,75,
348,45.78333333333333,"41.866095,-87.60726700000001|41.87785,-87.62408","41.866095,-87.60726700000001","41.87785,-87.62408",25.08333333333333,1495044960,75,
2038,57.38333333333333,"41.892278000000005,-87.612043|41.876243,-87.624426","41.892278000000005,-87.612043","41.876243,-87.624426",25.3,1495098420,75,
1728,34.85,"41.856268,-87.613348|41.892278000000005,-87.612043","41.856268,-87.613348","41.892278000000005,-87.612043",26.95,1495903020,74,
1167,6.933333333333334,"41.891020000000005,-87.6173|41.891020000000005,-87.6173","41.891020000000005,-87.6173","41.891020000000005,-87.6173",33.55833333333334,1495469580,74,
1691,48.05,"41.925858000000005,-87.638973|41.892278000000005,-87.612043","41.925858000000005,-87.638973","41.892278000000005,-87.612043",30.466666666666665,1495029840,73,
2853,19.383333333333333,"41.936669,-87.636794|41.911722,-87.626804","41.936669,-87.636794","41.911722,-87.626804",23.75,1495464360,73,
154,51.91666666666666,"41.892278000000005,-87.612043|41.890755,-87.632009","41.892278000000005,-87.612043","41.890755,-87.632009",15.966666666666667,1495145340,73,
654,23.25,"41.872638,-87.623979|41.892278000000005,-87.612043","41.872638,-87.623979","41.892278000000005,-87.612043",27.60833333333333,1495796940,72,
1081,22.566666666666666,"41.892278000000005,-87.612043|41.918306,-87.636282","41.892278000000005,-87.612043","41.918306,-87.636282",33.56666666666667,1495718220,71,
134,10.033333333333333,"41.89186,-87.62062|41.892278000000005,-87.612043","41.89186,-87.62062","41.892278000000005,-87.612043",11.85,1495896120,71,
346,61.53333333333333,"41.984036700000004,-87.65231047|41.926277,-87.630834","41.984036700000004,-87.65231047","41.926277,-87.630834",34.224999999999994,1495290120,70,
684,14.466666666666667,"41.876243,-87.624426|41.892278000000005,-87.612043","41.876243,-87.624426","41.892278000000005,-87.612043",28.516666666666666,1494946020,69,
666,21.28333333333333,"41.963982,-87.638181|41.984036700000004,-87.65231047","41.963982,-87.638181","41.984036700000004,-87.65231047",20.05,1495795200,69,
1556,11.366666666666667,"41.892278000000005,-87.612043|41.89691,-87.62174300000001","41.892278000000005,-87.612043","41.89691,-87.62174300000001",15.516666666666667,1494848220,69,
2158,45.63333333333333,"41.892278000000005,-87.612043|41.940775,-87.63919200000001","41.892278000000005,-87.612043","41.940775,-87.63919200000001",31.25,1494949740,69,
0,25.43333333333333,"41.865312,-87.617867|41.865312,-87.617867","41.865312,-87.617867","41.865312,-87.617867",22.33333333333333,1495788120,69,
2142,36.98333333333333,"41.892278000000005,-87.612043|41.92675599,-87.63442879","41.892278000000005,-87.612043","41.92675599,-87.63442879",30.30833333333333,1494866670,68,
648,23.91666666666667,"41.940775,-87.63919200000001|41.963982,-87.638181","41.940775,-87.63919200000001","41.963982,-87.638181",21.66666666666667,1495957320,67,
1766,43.8,"41.886024,-87.624117|41.892278000000005,-87.612043","41.886024,-87.624117","41.892278000000005,-87.612043",25.8,1495628520,67,
4455,27.83333333333333,"41.880958,-87.616743|41.891020000000005,-87.6173","41.880958,-87.616743","41.891020000000005,-87.6173",22.91666666666667,1495368900,67,
723,19.216666666666665,"41.892278000000005,-87.612043|41.890572999999996,-87.622072","41.892278000000005,-87.612043","41.890572999999996,-87.622072",22.175,1495024800,66,
499,22.466666666666665,"41.867888,-87.623041|41.892278000000005,-87.612043","41.867888,-87.623041","41.892278000000005,-87.612043",27.958333333333336,1495722750,66,
287,16.783333333333335,"41.984036700000004,-87.65231047|41.963982,-87.638181","41.984036700000004,-87.65231047","41.963982,-87.638181",20.741666666666667,1495365960,66,
198,18.183333333333334,"41.890755,-87.632009|41.892278000000005,-87.612043","41.890755,-87.632009","41.892278000000005,-87.612043",19.200000000000006,1495895100,66,
138,2.3833333333333333,"41.892278000000005,-87.612043|41.89257,-87.614492","41.892278000000005,-87.612043","41.89257,-87.614492",16.041666666666664,1495456080,66,
4613,33.016666666666666,"41.838556,-87.60821800000001|41.880958,-87.616743","41.838556,-87.60821800000001","41.880958,-87.616743",26.28333333333333,1495375740,65,
