,TO STATION NAME,Trip_Duration,Trip,Start_Coords,End_Coords,Median_Duration_Mins,Median_Unix_StartTime,Median_Age,Size,Public_Duration
54,State St & Pearson St,15.283333333333333,"41.879255,-87.639904|41.897448,-87.628722","41.879255,-87.639904","41.897448,-87.628722",14.141666666666666,1494828030,33.0,56,
193,Dearborn St & Adams St,4.533333333333333,"41.882090999999996,-87.639833|41.87935636,-87.62979104","41.882090999999996,-87.639833","41.87935636,-87.62979104",5.633333333333334,1494918270,29.0,56,
924,Orleans St & Merchandise Mart Plaza,8.216666666666667,"41.903222,-87.63432399999999|41.888243,-87.63639","41.903222,-87.63432399999999","41.888243,-87.63639",7.975,1495191090,35.0,56,
5121,Dearborn Pkwy & Delaware Pl,7.2333333333333325,"41.888243,-87.63639|41.898969,-87.629912","41.888243,-87.63639","41.898969,-87.629912",7.966666666666668,1495041360,39.0,55,
4853,Clark St & Armitage Ave,3.95,"41.911386,-87.638677|41.918306,-87.636282","41.911386,-87.638677","41.918306,-87.636282",4.366666666666666,1494623580,37.0,55,
5541,Clinton St & Madison St,3.783333333333333,"41.883668,-87.64867|41.882242,-87.64106600000001","41.883668,-87.64867","41.882242,-87.64106600000001",4.016666666666667,1495037700,27.0,55,
267,Orleans St & Merchandise Mart Plaza,6.416666666666668,"41.87500914,-87.63310582|41.888243,-87.63639","41.87500914,-87.63310582","41.888243,-87.63639",7.866666666666666,1494838440,31.0,55,
4823,Mies van der Rohe Way & Chicago Ave,5.616666666666666,"41.891020000000005,-87.6173|41.89691,-87.62174300000001","41.891020000000005,-87.6173","41.89691,-87.62174300000001",4.3,1494700800,42.0,55,
1892,Clinton St & Madison St,9.05,"41.886926,-87.65691899999999|41.882242,-87.64106600000001","41.886926,-87.65691899999999","41.882242,-87.64106600000001",7.416666666666668,1494666780,38.0,55,
1043,State St & 33rd St,8.4,"41.836208,-87.61353299999999|41.834734000000005,-87.625813","41.836208,-87.61353299999999","41.834734000000005,-87.625813",7.35,1494674100,27.0,55,
140,Wacker Dr & Washington St,8.866666666666667,"41.884728,-87.61952099999999|41.88327159,-87.63731329","41.884728,-87.61952099999999","41.88327159,-87.63731329",8.866666666666667,1495097040,29.0,55,
1886,Franklin St & Monroe St,14.283333333333333,"41.891020000000005,-87.6173|41.880317,-87.63518499999999","41.891020000000005,-87.6173","41.880317,-87.63518499999999",12.416666666666664,1495012680,29.0,55,
136,Sheridan Rd & Irving Park Rd,3.1166666666666667,"41.954177,-87.664358|41.954245,-87.65440600000001","41.954177,-87.664358","41.954245,-87.65440600000001",3.9,1494959820,39.0,55,
861,Clark St & Randolph St,3.566666666666667,"41.88389277,-87.62464914|41.88457623,-87.63188991","41.88389277,-87.62464914","41.88457623,-87.63188991",4.2,1494928980,35.0,55,
9594,Clinton St & Washington Blvd,11.4,"41.88283,-87.661206|41.883379999999995,-87.64116999999999","41.88283,-87.661206","41.883379999999995,-87.64116999999999",6.966666666666668,1494850860,60.0,54,
265,Wabash Ave & Adams St,7.366666666666666,"41.882090999999996,-87.639833|41.87947235,-87.62568861","41.882090999999996,-87.639833","41.87947235,-87.62568861",8.083333333333332,1494920610,28.0,54,
1411,Clinton St & Madison St,4.833333333333333,"41.883004,-87.65114799999999|41.882242,-87.64106600000001","41.883004,-87.65114799999999","41.882242,-87.64106600000001",4.166666666666667,1494896460,25.0,54,
5517,Indiana Ave & 31st St,4.416666666666667,"41.834734000000005,-87.625813|41.838842,-87.62185699999999","41.834734000000005,-87.625813","41.838842,-87.62185699999999",5.366666666666667,1495129020,29.0,54,
3799,Ellis Ave & 60th St,2.2333333333333334,"41.788746,-87.601334|41.78509715,-87.60107276","41.788746,-87.601334","41.78509715,-87.60107276",2.125,1494953490,40.0,54,
1702,Ashland Ave & Lake St,4.15,"41.889587,-87.67195600000001|41.88541,-87.66731999999999","41.889587,-87.67195600000001","41.88541,-87.66731999999999",3.966666666666667,1495006530,40.0,54,
1246,Orleans St & Merchandise Mart Plaza,6.65,"41.897764,-87.642884|41.888243,-87.63639","41.897764,-87.642884","41.888243,-87.63639",6.041666666666666,1494920100,28.0,54,
616,Kedzie Ave & Milwaukee Ave,4.516666666666667,"41.921525,-87.70732199999999|41.929567,-87.70785699999999","41.921525,-87.70732199999999","41.929567,-87.70785699999999",5.324999999999998,1494598650,53.0,54,
3583,Ravenswood Ave & Lawrence Ave,4.866666666666666,"41.957921,-87.673567|41.96909,-87.674237","41.957921,-87.673567","41.96909,-87.674237",5.058333333333334,1494929940,34.0,54,
3608,Clinton St & Washington Blvd,11.033333333333333,"41.886835,-87.62232|41.883379999999995,-87.64116999999999","41.886835,-87.62232","41.883379999999995,-87.64116999999999",9.325,1495039410,30.0,54,
