,Subs,FROM STATION NAME,TO STATION NAME,Subs_Trip_Duration,Subs_Trip,Subs_Start_Coords,Subs_End_Coords,Subs_Median_Duration_Mins,Subs_Median_Unix_StartTime,Subs_Median_Age,Subs_Size,Subs_Median_Timestamp
66,1982,Damen Ave & Augusta Blvd,Damen Ave & Pierce Ave,4.016666667,"41.899714,-87.677234|41.90939601,-87.67769193","41.899714,-87.677234","41.90939601,-87.67769193",4.35,1494915720,34.0,117,2017-05-16 06:22:00
67,2700,Kingsbury St & Kinzie St,Desplaines St & Kinzie St,5.1,"41.88917683,-87.63850577|41.88871604,-87.64444785","41.88917683,-87.63850577","41.88871604,-87.64444785",2.933333333,1494911700,34.0,116,2017-05-16 05:15:00
68,248,Damen Ave & Division St,Damen Ave & Pierce Ave,2.133333333,"41.90331,-87.67695|41.90939601,-87.67769193","41.90331,-87.67695","41.90939601,-87.67769193",2.85,1494854820,39.0,116,2017-05-15 13:27:00
69,1205,Franklin St & Monroe St,Michigan Ave & Washington St,8.7,"41.880317,-87.63518499999999|41.88389277,-87.62464914","41.880317,-87.63518499999999","41.88389277,-87.62464914",7.033333333,1494982410,34.0,114,2017-05-17 00:53:30
70,3269,University Ave & 57th St,Kimbark Ave & 53rd St,8.316666667,"41.791478000000005,-87.599861|41.799568,-87.594747","41.791478000000005,-87.599861","41.799568,-87.594747",5.85,1494874740,30.0,113,2017-05-15 18:59:00
71,641,Pine Grove Ave & Irving Park Rd,Sheridan Rd & Irving Park Rd,2.7166666669999997,"41.954383,-87.648043|41.954245,-87.65440600000001","41.954383,-87.648043","41.954245,-87.65440600000001",3.116666667,1495011420,27.0,111,2017-05-17 08:57:00
72,494,Kedzie Ave & Palmer Ct,California Ave & Milwaukee Ave,4.5,"41.921525,-87.70732199999999|41.922695000000004,-87.697153","41.921525,-87.70732199999999","41.922695000000004,-87.697153",4.583333333,1494836940,37.0,111,2017-05-15 08:29:00
73,5037,Indiana Ave & 31st St,State St & 33rd St,3.95,"41.838842,-87.62185699999999|41.834734000000005,-87.625813","41.838842,-87.62185699999999","41.834734000000005,-87.625813",4.616666667,1495115610,30.5,110,2017-05-18 13:53:30
74,3410,Columbus Dr & Randolph St,Clinton St & Madison St,10.75,"41.884728,-87.61952099999999|41.882242,-87.64106600000001","41.884728,-87.61952099999999","41.882242,-87.64106600000001",9.925,1494564930,30.0,110,2017-05-12 04:55:30
75,1284,Clinton St & Madison St,Green St & Madison St,3.7833333330000003,"41.882242,-87.64106600000001|41.881892,-87.64878900000001","41.882242,-87.64106600000001","41.881892,-87.64878900000001",3.666666667,1494920400,30.0,109,2017-05-16 07:40:00
