,trip,bike_duration_mins,median_hour,frequency,public_duration_mins,start_coord,end_coord,distance,time_saved
62,"40.693261,-73.968896|40.689888,-73.981013",6.47,1531126800,129,17.9,"40.693261,-73.968896","40.689888,-73.981013",1411,11.0
63,"40.693261,-73.968896|40.69196566,-73.9813018",5.4,1531123200,275,14.63,"40.693261,-73.968896","40.69196566,-73.9813018",1166,9.0
64,"40.693261,-73.968896|40.69236178,-73.98631746",7.31,1531126800,144,9.9,"40.693261,-73.968896","40.69236178,-73.98631746",1676,3.0
65,"40.69512845,-73.99595065|40.69760127,-73.99344559",2.28,1531126800,166,5.38,"40.69512845,-73.99595065","40.69760127,-73.99344559",430,3.0
66,"40.69573398,-73.97129668|40.69196566,-73.9813018",5.7,1531123200,117,15.93,"40.69573398,-73.97129668","40.69196566,-73.9813018",1263,10.0
67,"40.69580705,-73.97355569|40.69196566,-73.9813018",4.7,1531126800,177,13.37,"40.69580705,-73.97355569","40.69196566,-73.9813018",1061,9.0
68,"40.69681963,-73.93756926|40.6933982,-73.939877",2.74,1531162800,110,7.13,"40.69681963,-73.93756926","40.6933982,-73.939877",578,4.0
69,"40.69760127,-73.99344559|40.6902375,-73.99203074",4.82,1531148400,105,7.82,"40.69760127,-73.99344559","40.6902375,-73.99203074",1069,3.0
70,"40.69760127,-73.99344559|40.69089272,-73.99612349",3.58,1531155600,148,9.7,"40.69760127,-73.99344559","40.69089272,-73.99612349",813,6.0
71,"40.69760127,-73.99344559|40.69383,-73.990539",2.97,1531134000,129,2.87,"40.69760127,-73.99344559","40.69383,-73.990539",706,-0.0
72,"40.69760127,-73.99344559|40.69512845,-73.99595065",2.58,1531159200,166,5.25,"40.69760127,-73.99344559","40.69512845,-73.99595065",430,3.0
73,"40.69760127,-73.99344559|40.70277159,-73.99383605",3.63,1531141200,132,8.93,"40.69760127,-73.99344559","40.70277159,-73.99383605",756,5.0
74,"40.69795031569544,-73.97077560424805|40.70140317257725,-73.98672670125961",6.95,1531123200,147,20.33,"40.69795031569544,-73.97077560424805","40.70140317257725,-73.98672670125961",1637,13.0
75,"40.70122128,-74.01234218|40.70355377,-74.00670227",2.61,1531148400,148,6.82,"40.70122128,-74.01234218","40.70355377,-74.00670227",567,4.0
76,"40.70140317257725,-73.98672670125961|40.697787,-73.973736",6.45,1531146600,108,10.68,"40.70140317257725,-73.98672670125961","40.697787,-73.973736",1629,4.0
77,"40.70140317257725,-73.98672670125961|40.69795031569544,-73.97077560424805",7.02,1531155600,178,11.87,"40.70140317257725,-73.98672670125961","40.69795031569544,-73.97077560424805",1871,5.0
78,"40.70140317257725,-73.98672670125961|40.699773,-73.979927",3.48,1531130400,112,8.13,"40.70140317257725,-73.98672670125961","40.699773,-73.979927",694,5.0
79,"40.70140317257725,-73.98672670125961|40.71581550000001,-73.99422366",11.55,1531130400,115,9.5,"40.70140317257725,-73.98672670125961","40.71581550000001,-73.99422366",1984,-2.0
80,"40.701907,-74.013942|40.711512,-74.01575600000002",6.33,1531152000,177,11.32,"40.701907,-74.013942","40.711512,-74.01575600000002",1487,5.0
81,"40.70255065,-74.0127234|40.711512,-74.01575600000002",6.22,1531130400,122,13.6,"40.70255065,-74.0127234","40.711512,-74.01575600000002",1622,7.0
82,"40.70277159,-73.99383605|40.69165183,-73.99997859999998",8.35,1531152000,121,12.08,"40.70277159,-73.99383605","40.69165183,-73.99997859999998",2071,4.0
83,"40.70355377,-74.00670227|40.70122128,-74.01234218",2.8,1531126800,200,6.83,"40.70355377,-74.00670227","40.70122128,-74.01234218",567,4.0
84,"40.70355377,-74.00670227|40.711512,-74.01575600000002",9.48,1531137600,137,16.25,"40.70355377,-74.00670227","40.711512,-74.01575600000002",2186,7.0
85,"40.70463334,-74.01361706|40.70569254,-74.01677685",2.57,1531134000,205,5.13,"40.70463334,-74.01361706","40.70569254,-74.01677685",422,3.0
86,"40.70463334,-74.01361706|40.70834698,-74.01713445",4.13,1531155600,110,5.95,"40.70463334,-74.01361706","40.70834698,-74.01713445",774,2.0
87,"40.70463334,-74.01361706|40.711512,-74.01575600000002",5.56,1531152000,220,10.78,"40.70463334,-74.01361706","40.711512,-74.01575600000002",1244,5.0
88,"40.70463334,-74.01361706|40.7153379,-74.01658354",7.15,1531152000,115,14.15,"40.70463334,-74.01361706","40.7153379,-74.01658354",2311,7.0
